currency,asset,exchange,strategy,profit,profit daily,yearly profit,market change,profit-market,trade amount,trades daily,wining trades,losses trades,candle size,warmup period,backtest start,dataset from,dataset to,strategy config,,,,,,,,,,,
BTC,BNB,binance,BB,-81%,-40.50%,-478%,200%,-281,990,495,NA,NA,5,144,2018-03- 1 01:44:55,2017-12-20 00:00:00,2018-02-19 23:59:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
ETH,EOS,binance,BB,-89%,-44.50%,-527%,-29%,-60,1007,503.5,NA,NA,5,144,2018-03- 2 12:16:08,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BNB,OST,binance,BB,-99%,-49.50%,-589%,-57%,-42,840,420,NA,NA,10,73,2018-02-27 01:28:45,2017-12-20 00:00:00,2018-02-19 23:53:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BNB,GTO,binance,BB,-99%,-49.50%,-589%,-17%,-82,790,395,NA,NA,10,73,2018-02-27 01:15:33,2017-12-20 00:01:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BNB,XLM,binance,BB,-99%,-49.50%,-586%,-8%,-91,734,367,NA,NA,10,73,2018-02-27 01:16:41,2017-12-20 00:02:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BNB,ADX,binance,BB,-99%,-49.50%,-589%,-46%,-53,743,371.5,NA,NA,10,73,2018-02-27 01:27:51,2017-12-20 00:03:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,XRP,binance,BB,16%,8.00%,95%,133%,-117,437,218.5,NA,NA,10,73,2018-02-27 00:08:07,2017-12-20 00:00:00,2018-02-19 23:59:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,GAME,poloniex,BBRSI,37%,18.50%,221%,53%,-16,165,82.5,NA,NA,10,73,2018-02-27 05:33:48,2017-12-20 00:00:00,2018-02-19 23:57:00,"   ""interval"": 14,   ""thresholds"": {     ""low"": 40,     ""high"": 40,     ""persistence"": 9   },   ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,DGB,poloniex,BBRSI,77%,38.50%,457%,72%,5,297,148.5,NA,NA,5,144,2018-03- 1 01:45:10,2017-12-20 00:00:00,2018-02-19 23:58:00,"   ""interval"": 14,   ""thresholds"": {     ""low"": 40,     ""high"": 40,     ""persistence"": 9   },   ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,DGB,poloniex,BBRSI,88%,44.00%,518%,72%,16,153,76.5,NA,NA,10,73,2018-02-27 01:58:22,2017-12-20 00:00:00,2018-02-19 23:58:00,"   ""interval"": 14,   ""thresholds"": {     ""low"": 40,     ""high"": 40,     ""persistence"": 9   },   ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2,     ""NbDevDn"": 2   } ",,,,,,,,,,,
